,variable,indice,par,stat,wilcox_p,fdrbh_p,holm_p,bonfer_p
2,negTipe,t_wa_tpr,NG-NM,376,2.82700522561808E-05,4.24050783842713E-05,5.65401045123617E-05,8.48101567685425E-05
0,negTipe,t_wa_fpr,NB-NG,239,4.22672612886122E-08,1.26801783865837E-07,1.26801783865837E-07,1.26801783865837E-07
1,negTipe,t_wa_fpr,NB-NM,414.5,0.0028739337546971,0.0028739337546971,0.0028739337546971,0.0086218012640913
2,negTipe,t_wa_fpr,NG-NM,376,2.82700522561808E-05,4.24050783842713E-05,5.65401045123617E-05,8.48101567685425E-05
0,negTipe,t_wa_precision,NB-NG,0,5.16488469102305E-15,1.54946540730691E-14,1.54946540730691E-14,1.54946540730691E-14
1,negTipe,t_wa_precision,NB-NM,401,0.00201842698770278,0.00201842698770278,0.00201842698770278,0.00605528096310834
2,negTipe,t_wa_precision,NG-NM,36,1.08678734661034E-13,1.63018101991551E-13,2.17357469322068E-13,3.26036203983102E-13
0,negTipe,t_wa_recall,NB-NG,239,4.22672612886122E-08,1.26801783865837E-07,1.26801783865837E-07,1.26801783865837E-07
1,negTipe,t_wa_recall,NB-NM,414.5,0.0028739337546971,0.0028739337546971,0.0028739337546971,0.0086218012640913
2,negTipe,t_wa_recall,NG-NM,376,2.82700522561808E-05,4.24050783842713E-05,5.65401045123617E-05,8.48101567685425E-05
0,negTipe,t_wa_f,NB-NG,444,0.00753507120549574,0.0113026068082436,0.0150701424109915,0.0226052136164872
1,negTipe,t_wa_f,NB-NM,426,0.00489298427980949,0.0113026068082436,0.0146789528394285,0.0146789528394285
2,negTipe,t_wa_f,NG-NM,580,0.208980814327987,0.208980814327987,0.208980814327987,0.626942442983961
0,negTipe,t_wa_mcc,NB-NG,34,1.15972122134838E-13,1.73958183202257E-13,3.25547327727465E-13,3.47916366404514E-13
1,negTipe,t_wa_mcc,NB-NM,402,0.00209083598912008,0.00209083598912008,0.00209083598912008,0.00627250796736023
2,negTipe,t_wa_mcc,NG-NM,36,1.08515775909155E-13,1.73958183202257E-13,3.25547327727465E-13,3.25547327727465E-13
